round,sim_time,util_cpu,util_ram,util_stg,util_net,token_mean,token_std,token_min,token_max,token_jain,token_total,hungry_nodes,max_hunger,tok_node_0000,tok_node_0001,tok_node_0002,tok_node_0003,tok_node_0004,tok_node_0005,tok_node_0006,tok_node_0007,tok_node_0008,tok_node_0009
110,550,22.22222222222222,13.88888888888889,0.0,0.0,943.2074491424664,68.2917291347253,795.799463558749,998.6114640368355,0.9947850395446969,9432.074491424664,7,126,990.0476087853997,981.9535330055309,898.2560994088669,846.4942207028993,972.2022739988481,795.799463558749,997.2344984152331,996.8741244448831,954.6012050674185,998.6114640368355
111,555,26.666666666666668,10.416666666666666,0.0,0.0,942.7137202317701,68.47554036517062,794.9725604406931,998.6114640368355,0.9947516120203959,9427.137202317701,7,130,990.0476087853997,981.9535330055309,898.2560994088669,846.0817399785042,972.2022739988481,794.9725604406931,997.2344984152331,996.8741244448831,950.903299802906,998.6114640368355
112,560,22.22222222222222,6.944444444444445,0.0,0.0,942.2112583784547,68.92126587550595,794.6537219707756,998.6114640368355,0.9946777860184456,9422.112583784547,6,134,990.0476087853997,981.9535330055309,894.3791888890111,845.2528704351241,972.2022739988481,794.6537219707756,997.2344984152331,996.8741244448831,950.903299802906,998.6114640368355
113,565,17.77777777777778,6.944444444444445,0.0,0.0,941.6379320979264,69.92917877174487,790.1716507812162,998.6114640368355,0.9945152050800892,9416.379320979264,6,138,990.0476087853997,981.9535330055309,893.6634353720592,845.2528704351241,972.2022739988481,790.1716507812162,997.2344984152331,996.8741244448831,950.3678617041336,998.6114640368355
114,570,22.22222222222222,6.944444444444445,0.0,0.0,941.1875313395678,70.1437433100629,790.0454625159072,998.6114640368355,0.9944764277268995,9411.875313395678,5,142,990.0476087853997,981.2550189401092,890.3707809910727,845.2528704351241,972.2022739988481,790.0454625159072,997.2344984152331,996.8741244448831,949.9812108322657,998.6114640368355
115,575,22.22222222222222,3.4722222222222223,0.0,0.0,940.7301631799048,70.71007557212329,789.9386057500425,998.6114640368355,0.9943819487576805,9407.301631799048,5,146,990.0476087853997,981.2550189401092,890.3707809910727,841.2898539420278,972.2022739988481,789.9386057500425,997.2344984152331,996.8741244448831,949.4774024945962,998.6114640368355
116,580,17.77777777777778,6.944444444444445,0.0,0.0,940.1011867788741,71.51105448545519,789.5001442881404,998.6114640368355,0.994247038490431,9401.01186778874,7,150,990.0476087853997,981.2550189401092,890.3707809910727,836.265566770223,972.2022739988481,789.5001442881404,997.2344984152331,996.8741244448831,948.6503871179963,998.6114640368355
117,585,13.333333333333334,3.4722222222222223,0.0,0.0,939.6670669850531,71.98942652525943,789.5001442881404,998.6114640368355,0.9941649061687509,9396.670669850531,4,154,990.0476087853997,981.2550189401092,889.4959680105566,833.2196265967004,972.0687139234842,789.5001442881404,996.9476137064263,996.8741244448831,948.6503871179963,998.6114640368355
118,590,17.77777777777778,0.0,0.0,0.0,939.2432327124989,72.61055918785777,789.5001442881404,998.6114640368355,0.9940590540841322,9392.432327124989,4,158,990.0476087853997,981.2550189401092,889.4959680105566,829.0662906681539,972.0687139234842,789.5001442881404,996.9476137064263,996.8741244448831,948.5653803209998,998.6114640368355
119,595,22.22222222222222,0.0,0.0,0.0,938.8705709887079,73.23989487346137,786.707544905894,998.6114640368355,0.9939514795059997,9388.70570988708,3,119,990.0476087853997,981.2550189401092,888.6481950021181,829.0662906681539,972.0687139234842,786.707544905894,996.9476137064263,996.7878795976593,948.5653803209998,998.6114640368355
120,600,17.77777777777778,3.4722222222222223,0.0,0.0,938.192516965562,74.28250177082037,786.6005558757182,998.6114640368355,0.9937701860343121,9381.92516965562,5,123,990.0476087853997,981.2550189401092,888.6481950021181,822.3927394668709,972.0687139234842,786.6005558757182,996.9476137064263,996.7878795976593,948.5653803209998,998.6114640368355
121,605,17.77777777777778,3.4722222222222223,0.0,0.0,937.7051624751837,75.2262137678561,782.8397598792181,998.6114640368355,0.993605307050345,9377.051624751837,7,127,990.0476087853997,981.2550189401092,888.6481950021181,821.2799905595864,972.0687139234842,782.8397598792181,996.9476137064263,996.7878795976593,948.5653803209998,998.6114640368355
122,610,22.22222222222222,6.944444444444445,0.0,0.0,937.1335916946371,76.34019084311142,777.8342969118104,998.6114640368355,0.9934077900124153,9371.335916946371,7,131,990.0476087853997,981.100518953837,888.6481950021181,820.7242457078,972.0687139234842,777.8342969118104,996.9476137064263,996.7878795976593,948.5653803209998,998.6114640368355
123,615,26.666666666666668,3.4722222222222223,0.0,0.0,936.4499915598678,77.6573645994879,772.3122008527447,998.6114640368355,0.9931700155398848,9364.499915598679,6,135,990.0476087853997,981.100518953837,888.1802202031154,819.8783152181772,972.0687139234842,772.3122008527447,996.9476137064263,996.7878795976593,948.5653803209998,998.6114640368355
124,620,22.22222222222222,6.944444444444445,0.0,0.0,935.9477635148193,78.31148215097377,772.3122008527447,998.6114640368355,0.9930478705518297,9359.477635148192,6,139,990.0476087853997,981.100518953837,886.9781430885823,816.0581118822236,972.0687139234842,772.3122008527447,996.9476137064263,996.7878795976593,948.5653803209998,998.6114640368355
125,625,22.22222222222222,0.0,0.0,0.0,935.4550372534846,78.19876091526314,771.7089450551806,998.6114640368355,0.99306047723068,9354.550372534846,6,143,990.0476087853997,976.7765121380559,886.9781430885823,816.0581118822236,972.0687139234842,771.7089450551806,996.9476137064263,996.7878795976593,948.5653803209998,998.6114640368355
126,630,22.22222222222222,0.0,0.0,0.0,935.0848515283636,78.04249360943489,771.7089450551806,998.6114640368355,0.993082557052411,9350.848515283637,5,147,990.0476087853997,973.5119972689937,886.9781430885823,815.9536113129045,972.0687139234842,771.7089450551806,996.9476137064263,996.7878795976593,948.2325385081703,998.6114640368355
127,635,13.333333333333334,3.4722222222222223,0.0,0.0,934.48693211566,78.98014857347252,770.9923843295646,998.6114640368355,0.9929075182532466,9344.8693211566,5,151,990.0476087853997,973.5119972689937,886.9781430885823,810.8160260542294,971.9436657807387,770.9923843295646,996.9476137064263,996.7878795976593,948.2325385081703,998.6114640368355
128,640,13.333333333333334,6.944444444444445,0.0,0.0,933.8902159080699,79.52258366704984,769.8989912195082,998.6114640368355,0.9928013399121501,9338.902159080699,5,155,990.0476087853997,973.5119972689937,882.2287543766139,810.6916458003524,971.9436657807387,769.8989912195082,996.9476137064263,996.7878795976593,948.2325385081703,998.6114640368355
129,645,13.333333333333334,10.416666666666666,0.0,0.0,933.3965756752583,80.46775338837683,766.4172019098901,998.6114640368355,0.9926227319664969,9333.965756752583,6,159,990.0476087853997,973.5119972689937,882.2287543766139,809.2370327818561,971.9436657807387,766.4172019098901,996.9476137064263,996.7878795976593,948.2325385081703,998.6114640368355
