round,sim_time,util_cpu,util_ram,util_stg,util_net,token_mean,token_std,token_min,token_max,token_jain,token_total,hungry_nodes,max_hunger,tok_node_0000,tok_node_0001,tok_node_0002,tok_node_0003,tok_node_0004,tok_node_0005,tok_node_0006,tok_node_0007,tok_node_0008,tok_node_0009,tok_node_0010,tok_node_0011,tok_node_0012,tok_node_0013,tok_node_0014,tok_node_0015,tok_node_0016,tok_node_0017,tok_node_0018,tok_node_0019
207,1035,22.22222222222222,13.88888888888889,0.0,0.0,951.8310188606413,75.96972359724593,658.2206504242911,996.2053104457378,0.9936700021251378,19036.620377212825,14,278,990.3105562088609,994.2602978732338,961.8338863667553,991.3570525439104,658.2206504242911,876.4854512537477,983.1856281777698,987.9759924996835,912.2675807540529,896.7666268769457,970.1066525528763,972.3897113798325,994.6387698215962,994.5481786445664,987.377451228177,925.4338579479769,957.9586684167826,993.2173734391971,992.0806803568306,996.2053104457378
208,1040,17.77777777777778,13.88888888888889,0.0,0.0,951.5190709087913,77.0800029536223,652.4839924850902,996.2053104457378,0.9934805968108815,19030.381418175824,14,282,990.3105562088609,994.2602978732338,961.8338863667553,991.3570525439104,652.4839924850902,876.4854512537477,983.1856281777698,987.9759924996835,912.2675807540529,896.7666268769457,969.796169200446,972.3897113798325,994.6387698215962,994.5481786445664,987.377451228177,925.2420402026091,957.9586684167826,993.2173734391971,992.0806803568306,996.2053104457378
209,1045,22.22222222222222,13.88888888888889,0.0,0.0,951.2444342850816,77.08446246807776,652.4839924850902,996.2053104457378,0.9934761064554258,19024.888685701633,13,286,990.3105562088609,994.1247173172101,957.5825535433809,991.3570525439104,652.4839924850902,876.4854512537477,983.1856281777698,987.9759924996835,911.4487274455078,896.4796610906978,969.796169200446,972.3897113798325,994.6387698215962,994.5481786445664,987.377451228177,925.2420402026091,957.9586684167826,993.2173734391971,992.0806803568306,996.2053104457378
210,1050,26.666666666666668,10.416666666666666,0.0,0.0,951.0184854347378,77.90214970420196,648.3377290644816,996.2053104457378,0.9933347476789033,19020.369708694758,13,290,990.3105562088609,994.1247173172101,957.5825535433809,991.3570525439104,648.3377290644816,876.4854512537477,983.1856281777698,987.9759924996835,911.4487274455078,896.1069475044311,969.796169200446,972.3897113798325,994.6387698215962,994.5481786445664,987.377451228177,925.2420402026091,957.9586684167826,993.2173734391971,992.0806803568306,996.2053104457378
211,1055,31.11111111111111,6.944444444444445,0.0,0.0,950.7999353907737,78.08208435830792,647.3547005890764,996.2053104457378,0.9933010704189202,19015.998707815474,15,294,990.3105562088609,994.1247173172101,954.2983813643173,991.3570525439104,647.3547005890764,876.4854512537477,983.1856281777698,987.9759924996835,911.4487274455078,896.1069475044311,969.796169200446,972.3897113798325,994.6387698215962,994.5481786445664,987.377451228177,925.2420402026091,957.8548681919667,993.2173734391971,992.0806803568306,996.2053104457378
212,1060,31.11111111111111,10.416666666666666,0.0,0.0,950.604493999276,78.19100735602294,647.1903091407771,996.2053104457378,0.9932797493474074,19012.08987998552,15,298,990.3105562088609,994.1247173172101,953.564487849462,991.3570525439104,647.1903091407771,876.4854512537477,983.1856281777698,987.9759924996835,908.4381845787069,896.1069475044311,969.796169200446,972.3897113798325,994.6387698215962,994.5481786445664,987.377451228177,925.2420402026091,957.8548681919667,993.2173734391971,992.0806803568306,996.2053104457378
213,1065,35.55555555555556,10.416666666666666,0.0,0.0,950.3663528444819,78.9987391074094,643.2059314295315,996.2053104457378,0.9931377316477031,19007.327056889637,15,302,990.3105562088609,994.1247173172101,953.564487849462,991.3570525439104,643.2059314295315,875.8486574932375,983.1856281777698,987.9759924996835,908.2965329545805,896.1069475044311,969.796169200446,972.3897113798325,994.6387698215962,994.5481786445664,987.377451228177,925.2420402026091,957.8548681919667,993.2173734391971,992.0806803568306,996.2053104457378
214,1070,35.55555555555556,10.416666666666666,0.0,0.0,950.1676885216044,79.59932227387964,640.3018289232685,996.2053104457378,0.9930308316206413,19003.353770432088,15,306,990.3105562088609,994.1247173172101,953.564487849462,991.3570525439104,640.3018289232685,875.7256432138837,983.1856281777698,987.9759924996835,907.9610036933688,895.4963070937108,969.796169200446,972.3897113798325,994.6387698215962,994.5481786445664,987.377451228177,925.2420402026091,957.8548681919667,993.2173734391971,992.0806803568306,996.2053104457378
215,1075,31.11111111111111,6.944444444444445,0.0,0.0,949.9331459858761,79.91939193332395,638.9410944233418,996.2053104457378,0.9929716222467305,18998.66291971752,15,310,990.3105562088609,994.1247173172101,953.564487849462,991.3570525439104,638.9410944233418,875.7256432138837,983.1856281777698,987.9759924996835,907.9610036933688,895.4963070937108,969.796169200446,972.3897113798325,994.6387698215962,994.5481786445664,987.377451228177,921.9119239879675,957.8548681919667,993.2173734391971,992.0806803568306,996.2053104457378
216,1080,31.11111111111111,10.416666666666666,0.0,0.0,949.7710168210066,80.03266514753035,638.1153836213826,996.2053104457378,0.9929494358683101,18995.42033642013,14,157,990.3105562088609,994.1247173172101,953.564487849462,991.3570525439104,638.1153836213826,875.7256432138837,983.1856281777698,987.9759924996835,907.9610036933688,895.1928674346138,969.796169200446,972.3897113798325,992.5253369852651,994.5481786445664,987.377451228177,921.9119239879675,957.8548681919667,993.2173734391971,992.0806803568306,996.2053104457378
